Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,creditType ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
,,,,96220,400L Mixing Vessel,,,Global,QSP,Improvements and Efficiencies,Launch and Commercial Excellence,,"Firstly, this project will avoid the need for disruptive at-scale mixing studies during the engineering runs. And, it is most important that the engineering runs have as few issues as possible so they can serve as a reliable prediction of performance of the qualification runs. This is very important: the Etrolizumab campaign is proposing to have 5 qualification runs - less than in the past product transfers to OCN.
Secondly, this tank will permit cleaning cycles to be tested during cleaning validation. And, such issues can contribute to the complexity of qualification runs. A thorough product license application has cleaning validation complete during the qualification runs.
It is anticipated the cost of the tank will enable saving in cleaning validation time & resource and will increase the effectiveness of the engineering runs. This almost certainly contributes to lowering the risk of requireing an additional qualification run.",FXNL LT Appr,Jim Neeleman,Rich Johnson,Alister Hufton,Ken Hamilton,,,,2.4,1.8,17.3,0.68,$k,,$340k,$62k,,,,,$402k,,,$340k,$62k,,,,,$402k,,,
,,,L160,74553,Corrosive Chemical Compliance - CUB and Warehouse,,,Individual,RTO,SHE and K-Directives,Reliability and Value,,To meet control and monitoring requirements as requested by the Oceanside Fire Department.,FXNL LT Appr,Scott Fields,TBD,Mel Davis,Susan Schmidt,,,,6.6,3.9,34,0.94,$k,,,"$2,900k",$20k,,,,"$2,920k",,,,"$2,900k",$20k,,,,"$2,920k",,,
,,,L160,74556,Pressure Safety Program - Mechanical,,,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,,FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,,,,3.8,4,18.8,,$k,,,"$2,000k",,,,,"$2,000k",,,,"$2,000k",,,,,"$2,000k",,,
,,,,96223,Pressure Safety Program - Automation,,,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,,FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,,,,2.7,4.8,11.3,,$k,,,,"$2,500k",,,,"$2,500k",,,,,"$2,500k",,,,"$2,500k",,,
,,,,96224,Open Workspace Reconfiguration,,,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,,Idea,Scott Fields,TBD,Alister Hufton,Kara Swedberg,,,,,,,,$k,,,"$1,800k",,,,,"$1,800k","$1,800k",#REF!,,"$1,800k",,,,,"$1,800k",,,
,,,,96225,MCS Network Infrastructure Asset Replacement - 2021,,,Individual,QSP,Stay in Business,Reliability and Value,,,Idea,Scott Fields,,,,,,,,,,1.79,$k,,,,,,,"$2,340k","$2,340k",,,,,,,,"$2,340k",,,,
,,,,96226,Replacement of PV67 and Positioner in P1,,,Individual,QSP,Improvements and Efficiencies,Fit for Purpose,,,Idea,Zaymar Sedra,,,Nazeli Dertsakian,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96227,Conference Room 315 Expansion,,"8/9/16 SS submitted and CA. 7/19/16 Per IMPACT decision, this project will not be presented at PMT/IMPACT. 7/14/16 Endorsed by Capital Finance. ",Global,QSP,Improvements and Efficiencies,Exceptional Culture,,,CA Routing,Deidre Dunham,Matt Bahadur,Alister Hufton,Kara Swedberg,,,,,,,,$k,,$150k,,,,,,$150k,,,$311k,,,,,,,,,
,,,,96228,Manufacturing Bullpen Room 1501 Reconfiguration,,"8/9/16 SS submitted and CA. 7/19/16 Per IMPACT decision, this project will not be presented at PMT/IMPACT. 7/14/16 Endorsed by Capital Finance. ",Global,QSP,Improvements and Efficiencies,Exceptional Culture,,,CA Routing,Deidre Dunham,Matt Bahadur,Alister Hufton,Kara Swedberg,,,,,,,,$k,,$150k,,,,,,$150k,,,$219k,,,,,,,,,
,,,,96229,Avastin Restart,,,Individual,QSP,New Technologies,Launch and Commercial Excellence,,,Idea,Jim Neeleman,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96230,Replace the P1 Mettler Toledo pH/condo meter with S470 SevenExcellence™,,,Individual,QSP,Improvements and Efficiencies,Fit for Purpose,,,Idea,Zaymar Sedra,,,Nazeli Dertsakian,,,,,,,0.54,$k,,,,,,,,,,,,,,,,,,,,
,,,,96231,Manufacturing TV Installation and Upgrades,,8/4/16 SS submitted. ,Global,QSP,Improvements and Efficiencies,,,"Existing TVs thoughout manufacturing area have experienced intermitent connection issues. Software is out-dated and does not offer real-time viewing or monitoring of waht's being displayed on TVs. Constant maintnance is required for the HP mini computers. Issues with weak WI-FI signal which ends on loss of service. No ethernet nwtorking. This project has the objective to upgrade equipment and software to the RMG Networks solution in all P1 areas (Phase1, Phase2, bullpen, and Mfg 3rd floor Ops). Mfg bullpen smartboard. Also, this will align with the site communication strategy. ",FXNL LT Appr,,TBD,Alister Hufton,Clarence Flowers,,,,,,,,$k,,,,,,,,,,,$320k,,,,,,$320k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96990,Asset Replacement  - Automation (cc1586),,,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96991,Asset Replacement  - Engineering (cc642),,02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,"$1,007k",$505k,,,,,"$1,512k","$1,512k",,"$1,007k",$505k,,,,,"$1,512k",,,
,,,,96992,Asset Replacement  - Material Ops (cc484),,03/17/16 $4k moved to Material Ops AR Bucket above the line. 02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,$126k,"$1,178k",,,,,"$1,304k","$1,304k",,$126k,"$1,178k",,,,,"$1,304k",,,
T3,,,,96993,Asset Replacement  - Manufacturing (cc1359),,02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,2,$k,,$50k,$365k,,,,,$415k,$415k,#REF!,$50k,$365k,,,,,$415k,,,
T3,,,,96994,Asset Replacement  - Manufacturing,,02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,$268k,$158k,,,,,$426k,$426k,#REF!,$268k,$158k,,,,,$426k,,,
T3,,,,96995,Asset Replacement  - Quality,See breakdown on the Idea tab. ,02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment - The total comes from ARR minus the $393k that were tried to pull-in in 2014 (Project P68) + the new assets that need to be repalced for $396k + 45% escalation ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,$408k,$723k,,,,,"$1,131k","$1,131k",#REF!,$408k,$723k,,,,,"$1,131k",#REF!,,
,,,,96996,Asset Replacement  - Technology,,,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,,,,,,,,$k,#REF!,,,,,,,,#REF!,,
T3,,,,96997,Asset Replacement  - Facilities Ops,,02/12/16 50% of capital portion of AR buckets added above the line per IMPACT discussion.,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment ,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,$31k,$56k,,,,,$87k,$87k,#REF!,$31k,$56k,,,,,$87k,#REF!,,
T3,,,,96998,Asset Replacement  - BMSO,,BMSO has only one AR on the report- Warehouse Forklift. This is not reflected on this line as it has been identified and it is disclose as a single line P69,Global,QSP,Stay in Business,Fit for Purpose,,Asset Replacment - The only replacement under this department for 2015 is the Warehouse Forklift which is project P69,FXNL LT Appr,Zaymar Sedra,N/A,Alister Huffton ,N/A,,,,N/A,N/A,N/A,,$k,,,$202k,,,,,$202k,$202k,#REF!,,$202k,,,,,$202k,#REF!,,
T3,,,,96999,Site Management Adjustments (if any),,,Individual,,,,,,TBD,,,,,,,,,,,,"-$14,509k",,,,,,,,,"-$14,509k",#REF!,,,,,,,"-$14,509k",#REF!,,
T3,,,,T,,,,,,,,,,,,,,,"$372,292k","$348,212k","$10,606k",,,,,"$26,095k",,"$160,670k","$151,089k","$118,065k","$42,049k","$74,327k","$45,823k","$592,023k","$497,968k",#REF!,"$161,566k","$151,068k","$118,065k","$42,049k","$74,327k","$45,823k",#VALUE!,#REF!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
Expense ,,,,97042,"CRB, travel, ofc supplies, others ",,"4/15/15 Estimate for 2015 was adjusted to $360k. $90k billed in Q1, and we assumed that same expedinture for Q2,Q3 & Q4. 6/17/14 - Added budget $178k for the five year outlook per Dave's email. DS",Expense,QSP,Improvements and Efficiencies,Reliability and Value,A2 Business Efficiency,,Execute,Scott Fields,N/A,Alister Hufton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,$k,,,,,,,,,$k,#REF!,$317k,$317k,,,,,$635k,,,
Expense ,,,,97043,Travel Expenses,It is expense. Placeholder for 4368,,Expense,QSP,Stay in Business,N/A,A2 Business Efficiency,,Canceled,N/A,N/A,Alister Hufton,N/A,N/A,N/A,N/A,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97001,Lunches,,,Expense,QSP,Stay in Business,N/A,A6 Quality of work/life improvements,,Canceled,N/A,N/A,Alister Hufton,N/A,N/A,N/A,N/A,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97002,Office Supplies inc. Laptops,,,Expense,QSP,Stay in Business,N/A,A6 Quality of work/life improvements,,Canceled,N/A,N/A,Alister Hufton,N/A,N/A,N/A,N/A,,,,0.05,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97044,IMPACT Support,,6/17/14 - Added budget for the five year outlook. MD,Expense,QSP,Stay in Business,N/A,A2 Business Efficiency,,Canceled,N/A,N/A,Alister Hufton,N/A,N/A,N/A,N/A,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,1586,S160,82000,I&C Engineering and Instrument Configuration Management System Remediation Project (CAPA 982343),,7/14/16 CA Submitted for Full Green. 7/15/15 CA Appr. 7/10/15 Changed to CA Submitted. 6/10/15 CA issued.  ,Expense,CTT,Stay in Business,Reliability and Value,A1 Automation Improvement,With parallel project execution a browser I&C database allows concurrent queries and updates to be made. If nothing is done there is added overhead to maintain and outdated system.,CA Routing,Scott Fields,John Urban,Alister Hufton,Jonathan Clark,"$1,520k",$k,$152k,0.6,3.4,3.4,,$70k,,,,,,,,,$70k,#REF!,$949k,$501k,,,,,"$1,520k",,,
Expense ,,,,97003,MFG Systems Integration Improvement Phase 1 - 2015,This project is an consolidation of MES related projects icl. 74413 that was originally a Capex project.,"11/02/15 CA was put on hold, still trying to bring this project to execution. 6/01/15 CA issued. 04/23/15 PMT Appr.  03/05/15 Project name changed from MES Enhancement Project  - 2015 to current. ",Expense,CTT,Improvements and Efficiencies,Reliability and Value,A1 Automation Improvement,"Process Waste: Currently no ability to waste process materials that don’t exist in Syncade.  When material cannot be wasted, it must be scrapped which requires justification and labor intensive forms.QC Sample Plan:Sample Plans have no user-viewable format specific to material and type that can be stored and managed in the DCA.  Precludes that ability to use the DCA workflow for document approval. Order Locator: Inability to filter EBR review based on batch information creates inefficient process.  The system is flooded with batch reports each day which makes targeting reports ready for review extremely difficult.
",Execute 1,Scott Fields,N/A,Alister Hufton,Eric Davis ,$k,,,2.3,2.2,15.3,,$k,,,,,,,,,$k,#REF!,$292k,$135k,,,,,$427k,,,
Expense ,,,,97005,MCS Peripheral Asset Replacement - 2017,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,$312k,,,,$312k,,,
Expense ,,,,97006,MCS Peripheral Asset Replacement - 2019,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,$332k,,$332k,,,
Expense ,,,,97063,MCS Peripheral Asset Replacement - 2021,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,$351k,,,
Expense ,,,,97007,Automation System Lifecycle MCS Upgrade,"9/02/15 Renamed Automation System Lifecycle MCS Upgrade. 6/15/15 Originally called PCS Upgrade - 2015. Changed name and consolidated with MES Upgrade 2015. It was decided  all three will be governed by P2 and paid by the site. Which is further reason to combine them into one project.  74427. /01/15 Per Steven, only PI/CD Phase  will be done in 2015. The project will proceed with the PI Phase for a feed study. Since the requested amount is expense and less than $500k, a CA is not required.  A PO will be requested for $300k.  Eric Fallon will be added to the approval chain to endorse the project as the functional leader before the authorized approvers review the shopping cart.
When the project returns for the next phase of funding, it should be split into two projects. The MES and PCS activities will become one project while the infrastructure activities will be the other. ",11/30/15 Changed to Execution as the shopping cart was approved by AW for the PI phase for PCS Asset Replacement and the MCS Network Infrastructure. 9/02/15 Classified as Capex per Steven and changed name to PCS Asset Replacement 2016. 7/2/15 PMT Appr only feed study. 6/15/15 Name changed and consolidated. ,Expense,QSP,Improvements and Efficiencies,Reliability and Value,,,Execute,Scott Fields,John Urban,TBD,Myles Sumlin ,$k,,,4.6,3,27.6,,$k,,,,,,,,,$k,#REF!,$296k,,,,,,$296k,,,
Expense ,,,,97008,PCS Asset Replacement - 2019,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,$488k,$488k,,,$975k,,,
Expense ,,,,97064,PCS Asset Replacement - 2021,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,,,$463k,$463k,,,
Expense ,,,,97009,MES Asset Replacement - 2017,,9/02/15 This project comes back as a single and deferred to 2017. Roughly originally estimated for $1.1M 6/15/15 Rolled over to Automation System Lifecycle MCS Upgrade - E07. ,Expense,QSP,Stay in Business,Fit for Purpose,,,Idea,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,$200k,$575k,,,,$775k,,,
Expense ,,,,97010,MES Asset Replacement - 2020,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,,$500k,$525k,"$1,025k",,,
Expense ,,,,97012,Site Data Historian Asset Replacement - 2017,8/7/15 Per Myles' email this project has been deferred to 2017.,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Myles Sumlin ,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,$250k,,,,,$250k,,,
Expense ,,,,97013,Site Data Historian Asset Replacement - 2019,9/02/15 Per Steven this projects has been deferred to 2019.,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Myles Sumlin ,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,$488k,,,$488k,,,
Expense ,,,,97065,Site Data Historian Asset Replacement - 2021,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Myles Sumlin ,,,,,,N/A,0.08,$k,,,,,,,,,$k,#REF!,,,,,,$488k,$488k,,,
Expense ,,,,97015,MCS Backup System Asset Replacement - 2017,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Myles Sumlin ,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,$390k,,,,,$390k,,,
Expense ,,,,97016,MCS Backup System Asset Replacement - 2020,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Myles Sumlin ,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,,$439k,,$439k,,,
Expense ,,,,97018,PDFx Lab and Pilot Plant DeltaV Asset Replacement - 2017,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,$488k,,,,$488k,,,
Expense ,,,,97019,PDFx Lab and Pilot Plant DeltaV Asset Replacement - 2020,,,Expense,QSP,Stay in Business,Fit for Purpose,,,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Ravi Medandravu,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,,$488k,,$488k,,,
Expense ,,,,97030,MFG Systems Integration Improvement Phase 3 - 2017,Including MES/SAP System Integration - Real time Manufacturing Scheduling in SAP,"05/31/16 Per RM, ""The following project is no longer needed since this project is split into other projects which is already in the list.""",Expense,QSP,Improvements and Efficiencies,N/A,A1 Automation Improvement,,Canceled,N/A,TBD,TBD,TBD,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97031,MCS Data Analytics Asset Replacement - 2017,,,Expense,QSP,Stay in Business,Fit for Purpose,,,Idea,Zaymar Sedra,TBD,TBD,TBD,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,$325k,,,,,$325k,,,
Expense ,,,,97032,MCS Data Analytics Asset Replacement - 2020,,,Expense,QSP,Stay in Business,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,N/A,,$k,,,,,,,,,$k,#REF!,,,,,$360k,,$360k,,,
Expense ,,,,97033,PCS Automated Documentation Upgrade,,,Expense,QSP,New Technologies,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,,,$k,,,,,,,,,$k,#REF!,,,$325k,,,,$325k,,,
Expense ,,,,97066,PCS Automated Documentation Asset Replacement - 2021,,,Expense,QSP,New Technologies,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,$360k,$360k,,,
Expense ,,,,97037,Recipe Reconfiguration Alignment for Operating Systems - PI,,,Expense,QSP,Improvements and Efficiencies,Launch and Commercial Excellence,,"Current automation recipe design is not aligned to Network SAP Planning & Scheduling platform.  The misalignment results in delayed material consumptions, elevated raw material inventory, inadequate detailed production schedules, multiple manual alternate mechanisms and increased risk to production.  Accelerated production run rates and product launch add a new level of complexity which demands appropriate alignment of operating systems to minimize risk exposure, ensure success and align with network supply chain processes.",FXNL LT Appr,Jim Neeleman,TBD,N/A,Marco Baca,,,,2.7,4.2,13,,$k,,,,,,,,,$k,#REF!,,$250k,"$1,500k","$1,750k",,,"$3,500k",,,
Expense ,,,,97038,PCS Functional Specification Development Project (CAPA 960297),,6/26/15 Classified as Expense according to Automation Team. 4/13/15 SS Submitted. 3/19/15 SS in progress ,Expense,RTO,Strategic,Reliability and Value,,"PCS Functional Specification do not exist for the majority of the existing process systems at OCN, incurring in human errors. Creating of FSs for all impact system will ensure robust documentation on the integration of equipment, utilities, manual procedures, instrumentation and process control logic at the site. ",FXNL LT Appr,Scott Fields,TBD,Alister Hufton,Sarah Maruccia,,,,2.3,3,13.5,,$k,,,,,,,,,$k,#REF!,,$500k,"$2,250k","$2,250k","$3,000k",,"$8,000k",,,
Expense ,,,,97039,PCS Remediation for EBR Review by Exception - PI,Technology - Project identified during SBP Review.,"4/15/16 Project start slides to 2017, to be confirmed with SH. 11/23/15 No approved SS. 6/26/15 Classified as Expense according to Automation Team. ",Expense,QSP,Improvements and Efficiencies,Highly Capable Workforce,A1 Automation Improvement,,Idea,Melanie Yevilov,John Urban,Alister Hufton,Malou Jacinto / Stephanie Huntress,,,,2.7,4.2,13,,$k,,,,,,,,,$k,#REF!,,$250k,"$2,250k","$3,375k",,,"$5,875k",,,
Expense ,,,,97040,Tech Transfer: Master Data Management,,"4/12/16 Project will be funded by PTD, per MB. 12/15/15 Reduced 2016 amount by $306k and moved into 2017 per Dave Stewart. 11/23/15 Feed Study to be paid by cc 644 (Eric Fallon).",Expense,RTO,Tech Transfers,Launch and Commercial Excellence,,Creates a single source of information that will standardized and streamline the business process of importing and exporting data. OCN will soon become a Launch Facility with the completion of P2 and having a validated system to manage the new/existing data is imperative to reduce errors and create user accountability. ,FXNL LT Appr,Jim Neeleman,N/A,N/A,Marco Baca,,,,4.1,3,24.3,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97045,Site Exterior Lighting Upgrade - Title 24,4/15/16 Follow up with Charles Fuller for updated SS.,"6/27/14 Per Maria's email, this project is expense. 6/26/14 Is it a EXPENSE or not? Each light will be under $5k. It is a replacement  6/25/14 CRB doing the estimate Mel working with Tucker/Mike for the SS. DS  6/17/14 - Need Scope Sheet. Jim will work with the SME ",Expense,CTT,SHE and K-Directives,Reliability and Value,,"This is retrofitting the existing light mounts and poles with new LED fixtures. It is energy savings.  Title 24 requires that once you change 10% of your exterior lighting, you need to do the remainder - about half of the lighting is being changed due to the solar project so this will change out the remainder.",FXNL LT Appr,Scott Fields,TBD,Mel Davis,Charles Fuller,,,,0.3,1,2.4,,$k,,,,,,,,,$k,#REF!,$100k,$100k,,,,,$200k,,,
Expense ,,,,97046,Hazardous Waste Storage Bunker,2015 Cap $40k; 2016 Cap $40k,,Expense,QSP,SHE and K-Directives,Fit for Purpose,,,Execute,Zaymar Sedra,Marcus Espinoza,Mel Davis,Marcus Espinoza,$k,,,0.8,1,6,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97047,Flammable Storage Cabinets Upgrade,,,Expense,RTO,SHE and K-Directives,Fit for Purpose,,Replace current cabinet with one that complies with Fire Code. If nothing is done the cite remains at risk of citation which could result in fines.  ,Execute,Zaymar Sedra,Marcus Espinoza,Mel Davis,Marcus Espinoza,$k,,,0.5,0.4,3.9,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97048,Arc Flash Prevention,,11/23/15 Check with Marcus on monthly cash flow. 11/05/15 PMT Endorsed. ,Expense,RTO,SHE and K-Directives,Highly Capable Workforce,,"Multiple device settings, ciurcuit breakers and cable feeds were identified as being undersized operating above 95% of their operating capacity rate. ",Execute,Melanie Yevilov,Marcus Espinoza,Mel Davis,Susan Schmidt,$k,,,0.9,2.5,5.9,0.31,$k,,,,,,,,,$k,#REF!,$318k,,,,,,$318k,,,
Expense ,,,,97049,SIMCA Online - Downstream Application,,10/30/15 IMPACT e-reviwed. ,Expense,QSP,New Technologies,Launch and Commercial Excellence,,,Execute,Jim Neeleman,N/A,N/A,Chris Johnson,$k,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97051,MFG Electronic Use Logs (Syncade),,,Expense,RTO,Strategic,Launch and Commercial Excellence,,,Placeholder,Jim Neeleman,TBD,TBD,Ravi Medandravu,,,,1.1,2.5,6.8,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97052,MFG P1 Actemra Horiba Replacement,,,Expense,TBD,Stay in Business,TBD,,,Placeholder,TBD,TBD,TBD,TBD,,,,,,N/A,0.05,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97053,Pressure Safety Program - PI,,,Expense,RTO,SHE and K-Directives,Highly Capable Workforce,,,Execute,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,$k,,,3.8,4,18.8,,$k,,,,,,,,,$k,#REF!,$100k,,,,,,$100k,,,
Expense ,,,,97054,HVAC Retro Commissioning,Below the line - Budget Cap $25k Exp $5k 2015.,10/1/15 Project renamed from Reduce Reheat Requirements. 12/18/14 Changed to On Hold. 11/10/14 Project reviewed.,Expense,CTT,Stay in Business,Reliability and Value,,Project wll reduce energy consumption as a requirement of K-18. Projected annual savings of $220k in energy costs and reduced CO2 emissions of approx. 1210 metric tons.,FXNL LT Appr,Scott Fields,TBD,TBD,Geoff Wing / Scott Breier,,,,2,1,15.6,,$k,,,,,,,,,$k,#REF!,,$113k,$44k,,,,$157k,,,
Expense ,,,,97057,Conference Room 315 Expansion,,Capital. 5/10/16 project moved above the line per IMPACT discussion.,Expense,TBD,Improvements and Efficiencies,N/A,,,Canceled,N/A,TBD,Alister Hufton,N/A,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
Expense ,,,,97058,Parking Pavement Repair,,,Expense,CTT,Stay in Business,Reliability and Value,,,Execute,Scott Fields,Blake Brown,Mel Davis,Sumner Tison,$k,,,,,,,$k,,,,,,,,,$k,#REF!,$245k,,,,,,$245k,,,
Expense ,,,,97059,B311 & B321 Gowning Room Modifications,,3/17/16 Project amount changed from $75k to $131k. 01/13/16 Project added to portfolio. PO's approved by AW.,Expense,RTO,Stay in Business,Reliability and Value,,"Revised manufacturing gowning SOP becomes effective in February 2016, necessitating modifications to existing lockers and shoe storage to support this SOP.",Execute,Scott Fields,TBD,Mel Davis,TBD,$k,,,,,,,$k,,,,,,,,,$k,,$100k,,,,,,$100k,,,
Expense ,,,,97060,QC Gas Cabinet Removal,,,Expense,QSP,TBD,Reliability and Value,,QC cold storage capacity demand increases each year. Therefore additional space is required for cold storage equipment.,FXNL LT Appr,Scott Fields,TBD,Mel Davis,Joe Molon,,,,,,,,$k,,,,,,,,,$k,#REF!,$75k,,,,,,$75k,,,
Expense ,,,,97062,PI- Ammonia RMP Study,SHE Identified Project on 5/9/16,,Expense,RTO,TBD,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,,0.46,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
